order_id,order_datetime,channel,store_format,city,city_zone,department,category,brand,sku_id,base_unit_price_aed,discount_aed,unit_price_after_discount_aed,quantity,line_value_aed,promo_used,promo_code_type,ad_channel,campaign,payment_method,device_type,delivery_type,basket_size_items,returned,return_reason,return_value_aed,stock_out_flag,loyalty_member,user_id,age,gender,nationality_group,hour_of_day,day_of_week,order_month
LULU-000019,6/1/2025 11:08,In-Store POS,Hypermarket,Abu Dhabi,Khalifa City,Pharmacy,Baby Care,GSK,SKU-133388,234.47,12.97,221.5,2,443,1,Percent,Referral,LunchRush,Card,N/A,Carryout,4,0,,0,0,1,CUST-06085,34,Male,GCC Expat,11,Sunday,2025-06
LULU-000020,4/23/2025 3:59,Web,Hypermarket,Ras Al Khaimah,Airport Area,Grocery,Baby,Nadec,SKU-960031,17.51,1.99,15.52,9,139.68,1,Percent,Referral,ResidentsOnly,Card,Desktop,Same-Day,8,0,,0,0,0,CUST-04603,28,Male,Arab Expat (non-GCC),3,Wednesday,2025-04
LULU-000021,8/16/2025 19:23,Online App,Web DC,Fujairah,Airport Area,Grocery,Dairy & Eggs,Nestlé,SKU-374608,18.87,1.84,17.03,3,51.09,1,Percent,TikTok,FreshersUni,Card,Android,Same-Day,6,0,,0,0,1,CUST-05864,30,Male,South Asian,19,Saturday,2025-08
LULU-000022,8/15/2025 17:55,In-Store POS,Hypermarket,Abu Dhabi,Yas Island,Grocery,Bakery,Coca-Cola,SKU-681124,6.81,0.33,6.48,1,6.48,1,Percent,Referral,ResidentsOnly,Wallet,N/A,Carryout,10,0,,0,0,1,CUST-03708,46,Female,South Asian,17,Friday,2025-08
LULU-000023,7/15/2025 19:55,In-Store POS,Hypermarket,Dubai,Al Barsha,Grocery,Snacks,Almarai,SKU-506486,7.9,0.82,7.08,2,14.16,1,Flat,SMS,Ramadan2025,Cash,N/A,Carryout,8,0,,0,0,0,CUST-08556,22,Other/Prefer not to say,UAE National,19,Tuesday,2025-07
LULU-000024,5/26/2025 13:05,In-Store POS,Hypermarket,Al Ain,City Center,Electronics,Home Appliances,HP,SKU-298245,247.28,22.27,225.01,1,225.01,1,Percent,Outdoor,SummerHeat,Card,N/A,Carryout,7,0,,0,0,1,CUST-09594,29,Male,Arab Expat (non-GCC),13,Monday,2025-05
LULU-000025,10/10/2025 2:29,Web,Web DC,Sharjah,Suburb,Home & Living,Cleaning,Ikea-ish,SKU-758838,815.5,147.97,667.53,1,667.53,1,Percent,Referral,WeekendSaver,Card,iOS,Next-Day,7,0,,0,0,0,CUST-07667,40,Female,Western Expat,2,Friday,2025-10
LULU-000026,10/3/2025 1:32,In-Store POS,Hypermarket,Dubai,Bur Dubai,Grocery,Beverages,Lulu,SKU-340259,25.96,0.92,25.04,4,100.16,1,FreeDelivery,Outdoor,SummerHeat,Wallet,N/A,Carryout,5,0,,0,0,1,CUST-03841,37,Female,Western Expat,1,Friday,2025-10
LULU-000027,5/23/2025 10:34,In-Store POS,Hypermarket,Sharjah,Waterfront,Grocery,Snacks,Al Ain,SKU-858816,7.8,0.77,7.03,4,28.12,1,Percent,Email,NationalDay,Cash,N/A,Carryout,8,0,,0,0,0,CUST-09909,37,Male,South Asian,10,Friday,2025-05
LULU-000028,5/15/2025 10:32,In-Store POS,Express,Dubai,Deira,Pharmacy,OTC,VitX,SKU-618813,141.76,10.96,130.8,6,784.8,1,BOGO,Email,ResidentsOnly,Card,N/A,Carryout,10,0,,0,0,0,CUST-05941,43,Female,South Asian,10,Thursday,2025-05
LULU-000029,8/3/2025 10:22,Online App,Hypermarket,Dubai,Mirdif,Electronics,Gaming,Lenovo,SKU-607313,382.03,63.13,318.9,1,318.9,1,Flat,Instagram,BackToSchool2025,Apple Pay,Android,Next-Day,4,0,,0,0,0,CUST-11484,37,Female,South Asian,10,Sunday,2025-08
LULU-000030,7/25/2025 15:09,Online App,Web DC,Dubai,Mirdif,Pharmacy,Vitamins,Strepsils,SKU-566091,170.83,13.68,157.15,3,471.45,1,Flat,Email,SummerHeat,Wallet,Android,Same-Day,5,0,,0,0,0,CUST-05763,23,Male,GCC Expat,15,Friday,2025-07
LULU-000031,8/22/2025 3:37,In-Store POS,Express,Dubai,Al Barsha,Fashion,Footwear,BrandX,SKU-146273,196.14,22.19,173.95,1,173.95,1,FreeDelivery,Referral,NationalDay,Card,N/A,Carryout,5,0,,0,0,0,CUST-03593,25,Female,South Asian,3,Friday,2025-08
LULU-000032,9/25/2025 11:03,Web,Web DC,Dubai,Al Barsha,Home & Living,Kitchenware,Prestige,SKU-302560,871.97,51.66,820.31,4,3281.24,1,Percent,TikTok,FreshersUni,Card,Android,Next-Day,5,0,,0,0,0,CUST-00110,26,Female,South Asian,11,Thursday,2025-09
LULU-000033,9/13/2025 5:48,In-Store POS,Hypermarket,Dubai,Bur Dubai,Home & Living,Kitchenware,Tefal,SKU-818239,540.66,48.62,492.04,1,492.04,1,Percent,Outdoor,WeekendSaver,Card,N/A,Carryout,2,0,,0,0,0,CUST-02066,18,Male,African Expat,5,Saturday,2025-09
LULU-000034,10/15/2025 14:37,In-Store POS,Hypermarket,Abu Dhabi,Mussafah,Fashion,Kidswear,Adidas,SKU-540776,321.64,62.4,259.24,2,518.48,1,Flat,SMS,BackToSchool2025,Cash,N/A,Carryout,2,0,,0,0,0,CUST-04225,39,Male,South Asian,14,Wednesday,2025-10
LULU-000035,7/18/2025 5:48,Web,Web DC,Sharjah,Waterfront,Home & Living,Kitchenware,Ikea-ish,SKU-165650,324.55,28.62,295.93,2,591.86,1,Percent,TikTok,FreshersUni,Card,Android,Next-Day,3,0,,0,0,1,CUST-11366,44,Female,GCC Expat,5,Friday,2025-07
LULU-000036,4/26/2025 11:35,In-Store POS,Hypermarket,Dubai,Downtown,Home & Living,Cleaning,Tefal,SKU-186932,1005.98,55.91,950.07,1,950.07,1,Percent,Referral,ResidentsOnly,Card,N/A,Carryout,1,0,,0,0,0,CUST-08109,31,Male,Arab Expat (non-GCC),11,Saturday,2025-04
LULU-000037,7/2/2025 9:42,In-Store POS,Hypermarket,Dubai,Mirdif,Fashion,Footwear,Lulu Fashion,SKU-495794,220.76,20.81,199.95,6,1199.7,1,Percent,Email,FreshersUni,Card,N/A,Carryout,5,0,,0,0,1,CUST-02554,21,Male,Arab Expat (non-GCC),9,Wednesday,2025-07
LULU-000038,9/30/2025 15:11,In-Store POS,Express,Dubai,Al Quoz,Grocery,Dairy & Eggs,Al Ain,SKU-523842,36.49,4.72,31.77,3,95.31,1,Percent,Outdoor,MidnightMadness,Card,N/A,Carryout,5,0,,0,0,1,CUST-07334,37,Female,Western Expat,15,Tuesday,2025-09
LULU-000039,7/1/2025 13:08,Web,Web DC,Abu Dhabi,Yas Island,Fashion,Menswear,Levi's,SKU-595463,54.44,11.35,43.09,3,129.27,1,Percent,YouTube,BackToSchool2025,Card,Android,Next-Day,4,0,,0,0,0,CUST-02293,31,Male,South Asian,13,Tuesday,2025-07
LULU-000040,6/23/2025 11:16,In-Store POS,Hypermarket,Ajman,University Area,Grocery,Fresh Produce,Al Ain,SKU-534185,28.37,1.26,27.11,4,108.44,1,Flat,Referral,Ramadan2025,Wallet,N/A,Carryout,8,0,,0,0,0,CUST-00677,28,Female,South Asian,11,Monday,2025-06
LULU-000041,5/4/2025 1:48,Online App,Web DC,Abu Dhabi,Mussafah,Electronics,Tablets,Samsung,SKU-766982,1561.21,343.09,1218.12,1,1218.12,1,Percent,YouTube,Ramadan2025,Wallet,Android,Next-Day,5,0,,0,0,0,CUST-09734,23,Female,South Asian,1,Sunday,2025-05
LULU-000042,6/28/2025 0:05,Web,Web DC,Fujairah,City Center,Fashion,Womenswear,Adidas,SKU-852581,57.36,11.76,45.6,1,45.6,1,Percent,Facebook,ResidentsOnly,Wallet,Android,Next-Day,1,0,,0,0,0,CUST-02473,43,Male,Western Expat,0,Saturday,2025-06
LULU-000043,9/20/2025 15:45,Online App,Web DC,Dubai,Al Quoz,Fashion,Womenswear,Levi's,SKU-346377,271.8,57.9,213.9,1,213.9,1,Percent,Email,WeekendSaver,Apple Pay,Desktop,Next-Day,2,1,Other,151.52,0,0,CUST-00242,23,Male,South Asian,15,Saturday,2025-09
LULU-000044,8/24/2025 5:05,Online App,Hypermarket,Dubai,Al Quoz,Home & Living,Kitchenware,Vileda,SKU-159935,845.53,73.03,772.5,4,3090,1,BOGO,Outdoor,LunchRush,Wallet,Android,Next-Day,1,0,,0,0,0,CUST-09736,36,Female,South Asian,5,Sunday,2025-08
LULU-000045,5/14/2025 13:22,Online App,Web DC,Dubai,Mirdif,Home & Living,Cleaning,Black+Decker,SKU-421035,1080.41,143.95,936.46,3,2809.38,1,Flat,Google Search,MidnightMadness,Card,Desktop,Next-Day,6,0,,0,0,0,CUST-07240,31,Male,South Asian,13,Wednesday,2025-05
LULU-000046,6/22/2025 8:18,Online App,Web DC,Dubai,Deira,Home & Living,Bedding,Scotch-Brite,SKU-913834,244.18,33.44,210.74,2,421.48,1,Flat,TikTok,ResidentsOnly,Card,iOS,Next-Day,1,0,,0,0,1,CUST-04824,35,Female,South Asian,8,Sunday,2025-06
LULU-000047,6/13/2025 15:54,In-Store POS,Hypermarket,Abu Dhabi,Al Maryah,Home & Living,Décor,Tefal,SKU-660904,617.5,68.82,548.68,2,1097.36,1,Percent,Referral,MidnightMadness,Card,N/A,Carryout,3,0,,0,0,1,CUST-06831,18,Male,SE Asian,15,Friday,2025-06
LULU-000048,7/16/2025 12:24,Online App,Web DC,Dubai,Al Quoz,Electronics,Tablets,Apple,SKU-274904,2993.07,661.43,2331.64,1,2331.64,1,Percent,Facebook,WeekendSaver,Google Pay,Android,Next-Day,8,1,Changed mind,1589.45,0,1,CUST-04263,36,Other/Prefer not to say,South Asian,12,Wednesday,2025-07
LULU-000049,5/27/2025 16:06,Online App,Web DC,Dubai,JBR,Electronics,Home Appliances,LG,SKU-165070,243.93,54.05,189.88,1,189.88,1,Percent,Google Search,BackToSchool2025,Wallet,Android,Next-Day,6,0,,0,0,1,CUST-00818,28,Male,South Asian,16,Tuesday,2025-05
LULU-000050,8/29/2025 2:38,In-Store POS,Hypermarket,Ajman,Airport Area,Grocery,Bakery,Nestlé,SKU-121613,78.65,6.8,71.85,3,215.55,1,Flat,Email,MidnightMadness,Card,N/A,Carryout,7,0,,0,0,1,CUST-05633,43,Female,South Asian,2,Friday,2025-08
LULU-000051,7/25/2025 16:21,In-Store POS,Hypermarket,Ras Al Khaimah,Suburb,Pharmacy,Personal Care,J&J,SKU-874315,22.83,0.34,22.49,2,44.98,1,BOGO,Referral,FreshersUni,Card,N/A,Carryout,4,0,,0,0,0,CUST-09353,25,Female,South Asian,16,Friday,2025-07
LULU-000052,8/11/2025 18:36,In-Store POS,Hypermarket,Umm Al Quwain,University Area,Grocery,Baby,Nestlé,SKU-549848,43.16,2.51,40.65,4,162.6,1,Percent,Outdoor,LunchRush,Card,N/A,Carryout,5,0,,0,0,0,CUST-09073,29,Male,Western Expat,18,Monday,2025-08
LULU-000053,6/26/2025 7:41,In-Store POS,Hypermarket,Abu Dhabi,Khalifa City,Grocery,Fresh Produce,Nadec,SKU-440636,48,2.64,45.36,2,90.72,1,Percent,SMS,Ramadan2025,Card,N/A,Carryout,13,0,,0,0,1,CUST-03621,46,Male,South Asian,7,Thursday,2025-06
LULU-000054,10/8/2025 16:18,In-Store POS,Express,Umm Al Quwain,Waterfront,Pharmacy,Medical Devices,Himalaya,SKU-244044,62.01,0.84,61.17,7,428.19,1,Flat,Email,LunchRush,Card,N/A,Carryout,8,0,,0,0,0,CUST-09883,34,Female,UAE National,16,Wednesday,2025-10
LULU-000055,8/25/2025 14:11,In-Store POS,Hypermarket,Sharjah,City Center,Grocery,Beverages,Al Ain,SKU-671953,42.54,2.86,39.68,7,277.76,1,Percent,Email,NationalDay,Cash,N/A,Carryout,6,0,,0,0,1,CUST-00523,31,Female,Western Expat,14,Monday,2025-08
LULU-000056,8/13/2025 8:32,In-Store POS,Hypermarket,Dubai,Silicon Oasis,Fashion,Kidswear,Mango,SKU-456600,207.65,20.56,187.09,1,187.09,1,Percent,Referral,FreshersUni,Card,N/A,Carryout,5,0,,0,0,1,CUST-03122,43,Male,UAE National,8,Wednesday,2025-08
LULU-000057,5/21/2025 20:27,In-Store POS,Hypermarket,Ajman,Waterfront,Grocery,Dairy & Eggs,Pepsi,SKU-355054,30.5,1.75,28.75,4,115,1,Percent,Email,LunchRush,Cash,N/A,Carryout,6,0,,0,0,0,CUST-01361,32,Male,Other,20,Wednesday,2025-05
LULU-000058,9/12/2025 20:19,In-Store POS,Hypermarket,Abu Dhabi,Yas Island,Grocery,Meat & Poultry,Coca-Cola,SKU-517511,8.8,0.67,8.13,6,48.78,1,Flat,Email,ResidentsOnly,Google Pay,N/A,Carryout,9,0,,0,0,1,CUST-08182,30,Male,South Asian,20,Friday,2025-09
LULU-000059,10/4/2025 11:26,Web,Web DC,Abu Dhabi,Corniche,Home & Living,Kitchenware,Dettol,SKU-306668,507.85,66.4,441.45,2,882.9,1,Percent,Referral,BackToSchool2025,Wallet,Android,Next-Day,8,0,,0,0,0,CUST-08793,28,Male,South Asian,11,Saturday,2025-10
LULU-000060,9/30/2025 22:04,In-Store POS,Hypermarket,Sharjah,Suburb,Home & Living,Cleaning,Prestige,SKU-117993,722.25,68.84,653.41,1,653.41,1,Percent,Referral,BackToSchool2025,Card,N/A,Carryout,1,0,,0,0,1,CUST-10247,34,Male,GCC Expat,22,Tuesday,2025-09
LULU-000061,8/27/2025 7:12,In-Store POS,Hypermarket,Dubai,Silicon Oasis,Home & Living,Bedding,Tefal,SKU-342145,910.5,109.44,801.06,3,2403.18,1,Percent,Outdoor,MidnightMadness,Cash,N/A,Carryout,1,0,,0,0,1,CUST-01159,45,Female,SE Asian,7,Wednesday,2025-08
LULU-000062,6/16/2025 2:03,Online App,Hypermarket,Dubai,Bur Dubai,Grocery,Dairy & Eggs,Rani,SKU-187808,47.8,6.05,41.75,5,208.75,1,Percent,Referral,BackToSchool2025,Wallet,iOS,Same-Day,2,0,,0,0,1,CUST-03066,34,Female,UAE National,2,Monday,2025-06
LULU-000063,9/30/2025 2:44,Web,Web DC,Abu Dhabi,Khalifa City,Grocery,Beverages,Al Ain,SKU-239950,26.3,4.5,21.8,3,65.4,1,Percent,TikTok,BackToSchool2025,Wallet,iOS,Same-Day,7,0,,0,0,1,CUST-03236,30,Female,Arab Expat (non-GCC),2,Tuesday,2025-09
LULU-000064,7/12/2025 13:15,In-Store POS,Express,Abu Dhabi,Al Shawamekh,Home & Living,Cleaning,Prestige,SKU-607467,809.75,6.88,802.87,1,802.87,1,Percent,Referral,SummerHeat,Cash,N/A,Carryout,5,0,,0,0,1,CUST-10820,25,Male,African Expat,13,Saturday,2025-07
LULU-000065,7/28/2025 19:26,In-Store POS,Hypermarket,Al Ain,Suburb,Grocery,Frozen,Kellogg's,SKU-129595,20.97,1.25,19.72,1,19.72,1,Percent,Email,ResidentsOnly,Wallet,N/A,Carryout,7,0,,0,0,1,CUST-00357,26,Male,South Asian,19,Monday,2025-07
LULU-000066,9/10/2025 0:10,Online App,Web DC,Abu Dhabi,Al Shawamekh,Grocery,Seafood,Rani,SKU-609733,26.98,2.31,24.67,5,123.35,1,FreeDelivery,Instagram,SummerHeat,Wallet,iOS,Same-Day,10,0,,0,0,1,CUST-02471,35,Male,South Asian,0,Wednesday,2025-09
LULU-000067,9/20/2025 21:00,Web,Web DC,Ajman,Industrial Area,Home & Living,Furniture,Black+Decker,SKU-981160,999.93,125.33,874.6,4,3498.4,1,Percent,Instagram,WeekendSaver,Apple Pay,Android,Next-Day,10,0,,0,0,1,CUST-11666,41,Male,Western Expat,21,Saturday,2025-09
LULU-000068,7/1/2025 22:03,Online App,Web DC,Sharjah,Waterfront,Home & Living,Cleaning,Prestige,SKU-765617,1040.31,163.57,876.74,1,876.74,1,Flat,YouTube,WeekendSaver,Wallet,Android,Next-Day,1,1,Late delivery,830.97,0,0,CUST-05298,37,Female,UAE National,22,Tuesday,2025-07
LULU-000069,6/21/2025 1:10,In-Store POS,Hypermarket,Abu Dhabi,Al Shawamekh,Home & Living,Kitchenware,Vileda,SKU-730401,77.73,1.88,75.85,3,227.55,1,Flat,Outdoor,LunchRush,Wallet,N/A,Carryout,6,0,,0,0,0,CUST-09494,41,Female,Arab Expat (non-GCC),1,Saturday,2025-06
LULU-000070,10/2/2025 22:19,Web,Web DC,Dubai,Bur Dubai,Grocery,Personal Care,Nestlé,SKU-829580,68.26,12.39,55.87,4,223.48,1,Percent,Instagram,WeekendSaver,Card,iOS,Same-Day,7,0,,0,0,1,CUST-09815,33,Male,UAE National,22,Thursday,2025-10
LULU-000071,6/12/2025 23:24,In-Store POS,Hypermarket,Sharjah,Airport Area,Electronics,Home Appliances,Apple,SKU-154982,54.03,10.64,43.39,1,43.39,1,Flat,Outdoor,MidnightMadness,Cash,N/A,Carryout,2,0,,0,0,0,CUST-02448,23,Female,South Asian,23,Thursday,2025-06
LULU-000072,4/22/2025 21:37,Web,Hypermarket,Dubai,Bur Dubai,Grocery,Beverages,Nestlé,SKU-801442,19.54,2.46,17.08,3,51.24,1,Percent,SMS,LunchRush,Card,Android,Same-Day,3,0,,0,0,0,CUST-11743,28,Male,Western Expat,21,Tuesday,2025-04
LULU-000073,9/3/2025 2:54,Online App,Web DC,Dubai,Bur Dubai,Grocery,Snacks,Coca-Cola,SKU-327115,19.14,1.85,17.29,4,69.16,1,Percent,Instagram,NationalDay,Wallet,Android,Same-Day,5,0,,0,0,1,CUST-04955,31,Male,Western Expat,2,Wednesday,2025-09
LULU-000074,5/3/2025 6:38,In-Store POS,Hypermarket,Dubai,Business Bay,Home & Living,Décor,Tefal,SKU-960333,371.57,23.58,347.99,1,347.99,1,Flat,Email,SummerHeat,Card,N/A,Carryout,1,0,,0,0,1,CUST-00530,24,Male,SE Asian,6,Saturday,2025-05
LULU-000075,6/27/2025 8:54,In-Store POS,Hypermarket,Ajman,Suburb,Grocery,Bakery,Kellogg's,SKU-165475,71.86,3.32,68.54,5,342.7,1,BOGO,Outdoor,SummerHeat,Cash,N/A,Carryout,6,0,,0,0,0,CUST-03989,43,Male,Arab Expat (non-GCC),8,Friday,2025-06
LULU-000076,10/14/2025 5:01,In-Store POS,Hypermarket,Al Ain,Waterfront,Fashion,Footwear,Adidas,SKU-378375,197.95,30.68,167.27,6,1003.62,1,Percent,In-App,ResidentsOnly,Card,N/A,Carryout,7,0,,0,0,0,CUST-00523,38,Female,South Asian,5,Tuesday,2025-10
LULU-000077,8/20/2025 14:10,Online App,Web DC,Dubai,JBR,Grocery,Bakery,Al Ain,SKU-486418,59.72,7.34,52.38,3,157.14,1,Percent,SMS,ResidentsOnly,Card,Desktop,Same-Day,11,0,,0,0,1,CUST-04780,28,Male,South Asian,14,Wednesday,2025-08
LULU-000078,5/30/2025 13:58,Online App,Hypermarket,Dubai,Downtown,Home & Living,Kitchenware,Tefal,SKU-378308,504.63,68.72,435.91,1,435.91,1,Percent,Email,WeekendSaver,Apple Pay,iOS,Next-Day,7,0,,0,0,0,CUST-08543,34,Male,South Asian,13,Friday,2025-05
LULU-000079,4/21/2025 11:31,Online App,Hypermarket,Ras Al Khaimah,Waterfront,Home & Living,Cleaning,Vileda,SKU-437886,164.67,25.45,139.22,2,278.44,1,Percent,Referral,BackToSchool2025,Card,iOS,Next-Day,5,0,,0,0,0,CUST-11890,44,Male,South Asian,11,Monday,2025-04
LULU-000080,4/28/2025 7:20,In-Store POS,Hypermarket,Abu Dhabi,Corniche,Home & Living,Kitchenware,Black+Decker,SKU-714432,135.76,4.64,131.12,5,655.6,1,Percent,Outdoor,FreshersUni,Wallet,N/A,Carryout,1,0,,0,0,1,CUST-09292,42,Male,South Asian,7,Monday,2025-04
LULU-000081,5/30/2025 10:27,In-Store POS,Hypermarket,Dubai,Downtown,Electronics,Accessories,Sony,SKU-588162,62.02,10.68,51.34,1,51.34,1,FreeDelivery,Outdoor,BackToSchool2025,Card,N/A,Carryout,12,1,Size/fit issue,28.35,0,0,CUST-06132,27,Female,GCC Expat,10,Friday,2025-05
LULU-000082,6/9/2025 21:10,Web,Web DC,Dubai,Business Bay,Grocery,Personal Care,Coca-Cola,SKU-778256,48.94,3.93,45.01,2,90.02,1,BOGO,Referral,FreshersUni,Google Pay,Android,Same-Day,9,0,,0,0,1,CUST-00144,38,Male,South Asian,21,Monday,2025-06
LULU-000083,5/9/2025 9:25,Online App,Web DC,Sharjah,Suburb,Grocery,Frozen,Pepsi,SKU-560557,34.25,5.67,28.58,5,142.9,1,Flat,Instagram,WeekendSaver,Card,iOS,Same-Day,3,0,,0,0,0,CUST-07639,49,Female,South Asian,9,Friday,2025-05
LULU-000084,10/11/2025 7:47,In-Store POS,Hypermarket,Abu Dhabi,Al Maryah,Electronics,Home Appliances,HP,SKU-824008,360.16,24.41,335.75,1,335.75,1,BOGO,Email,FreshersUni,Card,N/A,Carryout,5,0,,0,0,1,CUST-03657,34,Male,South Asian,7,Saturday,2025-10
LULU-000085,4/28/2025 0:25,In-Store POS,Hypermarket,Abu Dhabi,Khalifa City,Grocery,Frozen,Al Ain,SKU-388380,27.42,1.22,26.2,1,26.2,1,Percent,In-App,SummerHeat,Card,N/A,Carryout,9,0,,0,0,1,CUST-00505,33,Female,Arab Expat (non-GCC),0,Monday,2025-04
LULU-000086,6/1/2025 1:28,In-Store POS,Hypermarket,Dubai,JLT,Fashion,Kidswear,Lulu Fashion,SKU-229330,390.28,57.62,332.66,3,997.98,1,Flat,Outdoor,WeekendSaver,Wallet,N/A,Carryout,5,0,,0,0,0,CUST-05355,30,Male,Arab Expat (non-GCC),1,Sunday,2025-06
